species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_thetaiotaomicron_56941,700014486,700096865,48,2832818,411220,1846982,9,30,267724,5264213,9009,0,30,0
Bacteroides_thetaiotaomicron_56941,700015922,700033502,64,2802052,406430,1827006,16,29,265108,5207138,8772,0,29,0
Bacteroides_thetaiotaomicron_56941,700015922,700172279,91,2791488,404807,1820088,23,51,264010,5187464,8790,2,49,0
Bacteroides_thetaiotaomicron_56941,700024449,700038594,25,2694265,390731,1756635,4,10,255157,5006387,8361,3,7,0
Bacteroides_thetaiotaomicron_56941,700024752,700037042,111,2717521,394055,1771634,21,74,257247,5049000,8655,3,71,0
Bacteroides_thetaiotaomicron_56941,700033502,700172279,71,2803167,406652,1827687,11,42,264934,5209184,8943,2,40,0
Bacteroides_thetaiotaomicron_56941,700113975,700161872,10,2618442,380214,1707291,2,6,247383,4866561,7929,0,6,0
