species_name,category,label,n_pairs,dS,dS_lo,dS_hi,dNdS,dNdS_lo,dNdS_hi,dS_p16,dS_p84,dNdS_p16,dNdS_p84
Bacteroides_vulgatus_57955,within_clade,Bacteroides_vulgatus_57955 [within],100,0.008976102171294926,0.008727555134275719,0.009201743272608908,0.13609312926830375,0.13464728603853626,0.13766497001382672,0.007837795546244097,0.010055128163326509,0.1300698647360651,0.14322432136054652
Bacteroides_caccae_53434,typical,Bacteroides_caccae_53434,100,0.00917328482311759,0.008883346968195186,0.009459179891710344,0.1435183869412259,0.14202481315850746,0.1448838000828091,0.007587285662794993,0.01091103579406831,0.13692631900842056,0.15164923095418173
Bacteroides_massiliensis_44749,typical,Bacteroides_massiliensis_44749,100,0.011334988148453651,0.010905960842765688,0.011783241562410835,0.1259551822008546,0.12520185096223732,0.12658694884867883,0.007979832242527659,0.013193248145171324,0.12365816924965059,0.12857066762828995
Odoribacter_splanchnicus_62174,typical,Odoribacter_splanchnicus_62174,100,0.011764911288375823,0.011309977382399654,0.012255312903785646,0.15437911611417615,0.15367218500812876,0.15509845787298343,0.00814944724118096,0.01360586523965041,0.1515451980899791,0.15753884753143763
Alistipes_sp_60764,typical,Alistipes_sp_60764,100,0.011891907266781496,0.011326867301436835,0.012398090124706326,0.1526375454616964,0.15134702510126394,0.15388764785628373,0.008793709565805297,0.014848756091416518,0.14980137375421843,0.15701318155636346
Bacteroides_fragilis_54507,typical,Bacteroides_fragilis_54507,100,0.012246156875043174,0.01199791177526003,0.012515124926571478,0.13390405836034705,0.13313079477414125,0.13460619578818214,0.011204625316731609,0.014076168901110396,0.13094761079397174,0.13709288643670298
Alistipes_shahii_62199,typical,Alistipes_shahii_62199,100,0.013147171269523378,0.011297845781893566,0.015429451201070846,0.19143417160917292,0.18651838916453303,0.1964442172050141,0.00988402840835122,0.013132774253133415,0.1934673289739212,0.20450783982237705
Bacteroides_eggerthii_54457,typical,Bacteroides_eggerthii_54457,100,0.013990851118017535,0.013796041836215585,0.014179991913857257,0.11452063154402765,0.11380746734321276,0.11511956289027012,0.012955500469444685,0.015477992298983508,0.11112318267292687,0.11792437171512743
Bacteroides_uniformis_57318,typical,Bacteroides_uniformis_57318,100,0.014398766388912581,0.013680917053166488,0.015235564463838355,0.1374619538719599,0.13591264855125068,0.13895301568624693,0.012220360501136552,0.01583489898484478,0.13254918032256377,0.14411602109667404
Bacteroidales_bacterium_58650,typical,Bacteroidales_bacterium_58650,100,0.014504303668753752,0.014169564846747891,0.01480376700265723,0.15839897328556146,0.1572479610806536,0.15953251275881464,0.01321366970579529,0.015837156414406587,0.15280703165617537,0.16385519838217472
Roseburia_intestinalis_56239,typical,Roseburia_intestinalis_56239,100,0.014527103539976372,0.013933077099173283,0.015187637229549415,0.1283669231899153,0.1246061999838513,0.13185997459929585,0.012958927826791864,0.01454380080754623,0.12780426273213266,0.14013330605867122
Coprococcus_sp_62244,typical,Coprococcus_sp_62244,100,0.01725469066569597,0.016864732509697836,0.017749631117037968,0.1277148420952804,0.12686784081663985,0.12858029921277062,0.015848471628958426,0.0184976746540401,0.12351925717803619,0.13229723160087556
Bacteroides_ovatus_58035,typical,Bacteroides_ovatus_58035,100,0.01943710458425102,0.018059950468671745,0.020912115563195107,0.0985191063370864,0.0956915704732373,0.10113838062596067,0.015928357494802946,0.020076321180365193,0.09438371163444557,0.10756529615602824
Parabacteroides_merdae_56972,typical,Parabacteroides_merdae_56972,100,0.01951167820589177,0.018412535978332707,0.020714551741786432,0.1102343159530383,0.10892478341710728,0.1115755155148374,0.015220365679546813,0.030206897854503097,0.10402574708464521,0.11770608215799369
Alistipes_putredinis_61533,typical,Alistipes_putredinis_61533,100,0.020299835623230282,0.019868167282049678,0.02071853044302217,0.15650874647812407,0.15546275906773827,0.1575197964876779,0.01786235959008555,0.022423966342733442,0.15212439776737952,0.16153842826546766
Alistipes_finegoldii_56071,typical,Alistipes_finegoldii_56071,100,0.021996401440058704,0.020817285529831094,0.023363923194561226,0.14051717145143391,0.13899949589273472,0.14203045861892732,0.016492891607133613,0.0316881235843054,0.13355720855161132,0.1498226012811549
