,syn rates,syn SE,ns rates,ns SE,ms rates,ms SE
0,,,,,,
1,,,,,,
2,-5.272680087210563,0.12045161706925984,-4.938134571127862,0.17729871031807867,-4.885388935021214,0.03737811759600458
3,-5.137844473242463,0.09259189432671713,-4.940711626950743,0.16414788471475297,-4.900922056657318,0.03466042990190382
4,-5.060230413051674,0.0570256568704769,-4.889087525564719,0.09963397758929818,-4.687250832136377,0.017894792377222194
5,-4.960104588580495,0.03964548068564293,-4.813987061795106,0.07238241286023123,-4.799082856963168,0.016019174284191497
6,-4.839801825840666,0.027143404810450092,-4.814452343703834,0.05654032331963346,-4.677303375494184,0.010912059431756103
7,-4.750833809418461,0.02279454809784099,-4.743859385192886,0.048555599128047425,-4.571474287482464,0.008968353726803694
8,-4.644314038704757,0.012616100183706671,-4.780400369919146,0.031929965327225585,-4.528046706279454,0.005360841050064022
9,-4.538466769020042,0.009364058183094647,-4.67032266701946,0.023799190991109217,-4.461085066157304,0.004179387598822904
10,-4.439433702140341,0.005815980255741126,-4.612606530288985,0.015373858000218286,-4.376912173231144,0.002633975038925939
11,-4.3393084272986275,0.004537212949579364,-4.558011665505229,0.012685877264656248,-4.332921418499774,0.002193714255985884
12,-4.241260473135481,0.0037989460832206835,-4.557487994370654,0.012054437928746758,-4.265288003223336,0.0019136372472469796
13,-4.136421529964938,0.003252435088087538,-4.469378633058587,0.010678655068948106,-4.128594038608954,0.0015886708044387265
14,-4.035337860866939,0.0026512933775429013,-4.4163614098859,0.00938371000837474,-4.032126201454838,0.0013132851448495735
15,-3.932384044202247,0.0023117782612356143,-4.394064607340856,0.009312251155090899,-3.945188540051448,0.0011820217547936162
16,-3.831672081736863,0.002132278845358535,-4.360059829831641,0.009318680048750694,-3.8939258925268994,0.0011554226961583152
17,-3.733103929333798,0.0022643164665512644,-4.302583207860278,0.010414406379756169,-3.8372360719859895,0.0012894968778405778
18,-3.634855034460677,0.003370677372645704,-4.32974420642755,0.018064269004206913,-3.815005478013719,0.0020991923856964623
19,-3.5242764785624856,0.004882487851523554,-4.1720853907980935,0.025458793402710466,-3.73330599207174,0.0031664917180230607
20,-3.422400431183801,0.005886067642344295,-3.950447878435462,0.025770634845305233,-3.6779411759533613,0.0039500908459941765
21,-3.3339287726672815,0.010423401068663995,-4.048352773120578,0.05803503211565356,-3.610731649634365,0.00728595872048635
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
