stratum,num_points,num_valid_points,synonymous_diffs,synonymous_sites,nonsynonymous_diffs,nonsynonymous_sites,aggregate_dS,aggregate_dN,aggregate_dNdS,median_point_dNdS,q25_point_dNdS,q75_point_dNdS,min_plot_dS,max_plot_dS
full_core,1244,770,347662,219238317.0,210185,1018877629.0,0.0015857720710381114,0.00020629072031573675,0.13008850646530204,0.15953870650049423,0.1320997928839373,0.32277977201835073,6.973184618549368e-06,0.008389974511469838
recombined,594,567,336402,21959296.0,176047,101283488.0,0.015319343570941436,0.0017381609132576478,0.1134618402680573,0.12158123167261498,0.10731248617141813,0.13756536155194504,6.978147929757963e-06,0.008389974511469838
clonal,1244,846,11436,219053786.0,34660,1018786601.0,5.220635629643945e-05,3.4020863609689345e-05,0.6516613305956696,0.6228966642407445,0.4304342610178195,0.8203072367097712,6.970851384933899e-06,0.008389974511469838
